Source,Preferred society name,Society id,Cross-dataset id,Original society name,Revised latitude,Revised longitude,Glottolog language/dialect id,Glottolog language/dialect name,ISO code,Language family,agriculture,animal husbandry
Ethnographic Atlas,Ho Chunk,Nf2,xd1236,Winnebago (Nf2),44,-88,hoch1243,Ho-Chunk,win,Siouan,3,0
Ethnographic Atlas,Haitians,Sb9,xd1334,Haitians (Sb9),18.41,-72.17,hait1244,Haitian,hat,Indo-European,8,2
Ethnographic Atlas,Min Chinese,Ed6,xd649,Min Chinese (Ed6),24,115,minn1241,Min Nan Chinese,nan,Sino-Tibetan,7,2
Ethnographic Atlas,Nomoians,If10,xd825,Nomoians (If10),6.89,152.74,mort1237,Mortlockese,mrl,Austronesian,5,1
Ethnographic Atlas,Aweikoma,Sj3,xd1411,Aweikoma (Sj3),-28,-50,xokl1240,Xokleng,xok,Nuclear-Macro-Je,0,0
Ethnographic Atlas,Negri Sembilan,Ej16,xd723,Negri Sembilan (Ej16),21,102,nege1240,Negeri Sembilan Malay,zmi,Austronesian,8,1
Ethnographic Atlas,Liptako,Cb22,xd472,Liptako (Cb22),14,0,west2454,Western Niger Fulfulde,fuh,Atlantic-Congo,6,4
Ethnographic Atlas,Kiowa,Ne17,xd1216,Kiowa (Ne17),36,-99,kiow1266,Kiowa,kio,Kiowa-Tanoan,0,0
Ethnographic Atlas,Ponapeans,If5,xd836,Ponapeans (If5),6.88,158.22,pohn1238,Pohnpeian,pon,Austronesian,6,1
Ethnographic Atlas,Karuk,Nb34,xd1095,Karok (Nb34),42,-123,karo1304,Karok,kyh,Karok,0,0
Ethnographic Atlas,Nivkh,Ec1,xd617,Gilyak (Ec1),53,142,gily1242,Nivkh,niv,Nivkh,0,0
Ethnographic Atlas,Laka,Ai13,xd341,Laka (Ai13),8,16,laka1252,Laka (Nigeria),lak,Atlantic-Congo,5,1
Ethnographic Atlas,Taulípang,Sc15,xd1341,Taulipang (Sc15),4,-62,taul1252,Taulipang,,Cariban,4,0
Ethnographic Atlas,Kazan tatar,ch20,xd558,Kazan tatar (ch20),55,50,midd1325,Middle Tatar,,Turkic,6,4
Ethnographic Atlas,Comanche,Ne3,xd1222,Comanche (Ne3),33,-100,coma1245,Comanche,com,Uto-Aztecan,0,0
Ethnographic Atlas,Kei,Ic8,xd770,Kei (Ic8),-5.58,133.07,keii1239,Kei,kei,Austronesian,5,1
Ethnographic Atlas,Seniang,Ih2,xd868,Seniang (Ih2),-16.51,167.47,sout2857,Nahavaq,sns,Austronesian,5,1
Ethnographic Atlas,Murriny Patha,Id7,xd782,Murinbata (Id7),-14,130,murr1258,Murrinh-Patha,mwf,Southern Daly,0,0
Ethnographic Atlas,Sawakudokwa,Nd25,xd1158,Sawakudokwa (Nd25),41,-118,nort1551,North Northern Paiute,,Uto-Aztecan,0,0
Ethnographic Atlas,Sara,Ai22,xd351,Sara (Ai22),9,18,sarr1246,Sar,mwm,Central Sudanic,6,3
Ethnographic Atlas,Taviwatsiu,Nd61,xd1198,Taviwatsiu (Nd61),40,-105,utee1244,Ute,,Uto-Aztecan,0,0
Ethnographic Atlas,Khevsur,Ci2,xd578,Khevsur (Ci2),43,45,xevs1238,Xevsur,,Kartvelian,5,3
Ethnographic Atlas,Bura,Ah35,xd326,Bura (Ah35),10,12,bura1292,Bura-Pabir,bwr,Afro-Asiatic,6,3
Ethnographic Atlas,Svan,Ci9,xd585,Svan (Ci9),43,43,svan1243,Svan,sva,Kartvelian,4,4
Ethnographic Atlas,Syrians,Cj1,xd586,Syrians (Cj1),36,36,nort3140,North Lebanese Arabic,,Afro-Asiatic,6,4
Ethnographic Atlas,Modoc,Nc9,xd1140,Modoc (Nc9),42,-122,klam1254,Klamath-Modoc,kla,Klamath-Modoc,0,0
Ethnographic Atlas,Katab,Ah1,xd298,Katab (Ah1),10,8,kata1265,Katab,,Atlantic-Congo,5,1
Ethnographic Atlas,Ticuna,Se2,xd1366,Tucuna (Se2),-3,-70,ticu1245,Ticuna,tca,Ticuna-Yuri,4,0
Ethnographic Atlas,Jakaltek,Sa15,xd1315,Jacaltec (Sa15),14,-90,popt1235,Popti',jac,Mayan,8,1
Ethnographic Atlas,Tlicho,Na15,xd1032,Dogrib (Na15),63,-117,dogr1252,Dogrib,dgr,Athapaskan-Eyak-Tlingit,0,0
Ethnographic Atlas,K'iche',Sa13,xd1313,Quiche (Sa13),15,-91,kich1262,K'iche',quc,Mayan,9,1
Ethnographic Atlas,Sidama,Ca16,xd422,Sidamo (Ca16),7,38,sida1246,Sidamo,sid,Afro-Asiatic,6,3
Ethnographic Atlas,Kidutokado,Nd24,xd1157,Kidutokado (Nd24),42,-120,nort1551,North Northern Paiute,,Uto-Aztecan,0,0
Ethnographic Atlas,Tatoga,Aj28,xd404,Tatoga (Aj28),-5,35,dato1239,Datooga,tcc,Nilotic,2,7
Ethnographic Atlas,Lala,Ac33,xd59,Lala (Ac33),-15,31,lala1264,Lala-Bisa,leb,Atlantic-Congo,6,1
Ethnographic Atlas,Kasonke,Ag23,xd259,Kasonke (Ag23),13,-11,xaas1235,Xaasongaxango,kao,Mande,5,3
Ethnographic Atlas,Indo-Iranian,Ef3,xd665,Aryans (Ef3),30,75,sans1269,Sanskrit,san,Indo-European,6,3
Ethnographic Atlas,Tikar,Ae58,xd180,Tikar (Ae58),6,12,tige1238,Tige,,Atlantic-Congo,8,1
Ethnographic Atlas,Khalka,Eb3,xd611,Khalka (Eb3),46,97,halh1238,Halh Mongolian,khk,Mongolic,1,8
Ethnographic Atlas,Fang,Ae3,xd149,Fang (Ae3),1,11,fang1246,Fang (Equatorial Guinea),fan,Atlantic-Congo,5,1
Ethnographic Atlas,Igala,Af30,xd209,Igala (Af30),7,7,igal1242,Igala,igl,Atlantic-Congo,7,1
Ethnographic Atlas,Rotumans,Ih6,xd872,Rotumans (Ih6),-12.5,177.07,rotu1241,Rotuman,rtm,Austronesian,7,1
Ethnographic Atlas,Kurd,Ci11,xd576,Kurd (Ci11),32,44,cent1972,Central Kurdish,ckb,Indo-European,5,4
Ethnographic Atlas,Inughuit (Northern Greenland),Na14,xd1031,Polar Eskimo (Na14),78,-70,pola1254,Polar Eskimo,,Eskimo-Aleut,0,0
Ethnographic Atlas,Baule,Af9,xd243,Baule (Af9),8,-5,baou1238,Baoulé,bci,Atlantic-Congo,6,1
Ethnographic Atlas,Gujarati,Ef9,xd671,Gujarati (Ef9),20,77,guja1252,Gujarati,guj,Indo-European,7,2
Ethnographic Atlas,Kel Antessar,Cc5,xd502,Antessar (Cc5),18,-3,timb1263,Timbuktu,,Afro-Asiatic,3,6
Ethnographic Atlas,Negidal,ec17,xd625,Negidal (ec17),52,134,negi1245,Negidal,neg,Tungusic,0,0
Ethnographic Atlas,Lozi,Ab3,xd26,Lozi (Ab3),-15,23,lozi1239,Lozi,loz,Atlantic-Congo,4,2
Ethnographic Atlas,Kiliwa,Nc34,xd1134,Kiliwa (Nc34),31,-115,kili1268,Kiliwa,klb,Cochimi-Yuman,0,0
Ethnographic Atlas,Kikuyu,Ad4,xd109,Kikuyu (Ad4),-1,37,kiku1240,Kikuyu,kik,Atlantic-Congo,7,3
Ethnographic Atlas,Lhota,Ei2,xd707,Lhota (Ei2),27,94,loth1237,Lotha Naga,njh,Sino-Tibetan,5,2
Ethnographic Atlas,Central Sierra Miwok,Nc5,xd1136,Miwok (Nc5),38,-120,cent2140,Central Sierra Miwok,csm,Miwok-Costanoan,0,0
Ethnographic Atlas,Kela,Ae21,xd140,Kela (Ae21),-3,23,yela1238,Yela-Kela,yel,Atlantic-Congo,5,1
Ethnographic Atlas,Siuslaw,Nb29,xd1089,Siuslaw (Nb29),44,-124,sius1254,Siuslaw,sis,Siuslaw,0,0
Ethnographic Atlas,Kipsigis,Aj9,xd414,Kipsigis (Aj9),-1,36,kips1239,Kipsigis,sgc,Nilotic,5,4
Ethnographic Atlas,Coast Yuki,Nc15,xd1113,Coast Yuki (Nc15),39.34,-123.77,yuki1243,Yuki,yuk,Yuki-Wappo,0,0
Ethnographic Atlas,Turkmen,Eb5,xd613,Turkmen (Eb5),38,62,turk1304,Turkmen,tuk,Turkic,6,4
Ethnographic Atlas,Kayapo,Sj9,xd1417,Coroa (Sj9),-8,-52,acro1239,Acroá,acs,Nuclear-Macro-Je,6,0
Ethnographic Atlas,Tsamai,Ca17,xd423,Tsamai (Ca17),5,37,tsam1247,Tsamai,tsb,Afro-Asiatic,6,3
Ethnographic Atlas,U'wa,Sf4,xd1377,Tunebo (Sf4),7,-72,cent2150,Central Tunebo,tuf,Chibchan,6,0
Ethnographic Atlas,Kashmiri,Ef8,xd670,Kashmir (Ef8),34,75,kash1277,Kashmiri,kas,Indo-European,6,2
Ethnographic Atlas,Otoe,Nf11,xd1231,Oto (Nf11),40,-95,otoo1241,Oto,,Siouan,4,0
Ethnographic Atlas,Vere,Ah32,xd323,Vere (Ah32),9,13,momj1237,Mom Jango,ver,Atlantic-Congo,7,2
Ethnographic Atlas,Evenk,ec16,xd624,Evenk (ec16),55,112,even1259,Evenki,evn,Tungusic,0,1
Ethnographic Atlas,Xhosa,Ab11,xd12,Xhosa (Ab11),-32.89,27.91,xesi1238,Xesibe,,Atlantic-Congo,5,3
Ethnographic Atlas,Kasena,Ag13,xd248,Kasena (Ag13),11,-1,kase1253,Kasem,xsm,Atlantic-Congo,6,2
Ethnographic Atlas,Mzab,Cc4,xd501,Mzab (Cc4),33,4,tumz1238,Tumzabt,mzb,Afro-Asiatic,9,1
Ethnographic Atlas,Southern Valley Yokuts,Nc24,xd1123,Lake Yokuts (Nc24),36,-120,vall1251,Valley Yokuts,,Yokutsan,0,0
Ethnographic Atlas,Kiowa Apache,Ne2,xd1219,Kiowa Apache (Ne2),36,-99,kiow1264,Kiowa Apache,apk,Athapaskan-Eyak-Tlingit,0,0
Ethnographic Atlas,Hukundika,Nd5,xd1185,Hukundika (Nd5),42,-112,nort2955,Northern Shoshoni,,Uto-Aztecan,0,0
Ethnographic Atlas,Anuak,Ai44,xd375,Anuak (Ai44),8,34,anua1242,Anuak,anu,Nilotic,6,1
Ethnographic Atlas,Sivokakmeit,Na11,xd1028,Sivokakmeit (Na11),63.34,-170.3,aiwa1238,Aiwanat,,Eskimo-Aleut,0,0
Ethnographic Atlas,Kaska,Na4,xd1056,Kaska (Na4),59,-128,kask1239,Kaska,kkz,Athapaskan-Eyak-Tlingit,0,0
Ethnographic Atlas,Ngonde,Ad16,xd83,Ngonde (Ad16),-10,34,ngon1268,Ngonde,,Atlantic-Congo,6,2
Ethnographic Atlas,Serer,Ag22,xd258,Serer (Ag22),14,-12,sere1260,Sereer,srr,Atlantic-Congo,5,2
Ethnographic Atlas,Ha,Ae14,xd132,Ha (Ae14),-5,30,haaa1252,Ha,haq,Atlantic-Congo,5,4
Ethnographic Atlas,Adara,Ah19,xd308,Kadara (Ah19),10,8,kada1284,Kadara,kad,Atlantic-Congo,7,2
Ethnographic Atlas,Nandi,Aj7,xd412,Nandi (Aj7),0,35,nand1266,Nandi,niq,Nilotic,5,5
Ethnographic Atlas,Ngarawapum,Ie26,xd803,Ngarawapum (Ie26),-6,146,adze1240,Adzera,adz,Austronesian,6,1
Ethnographic Atlas,Kentu,Ah24,xd314,Kentu (Ah24),7,10,etky1238,Etkywan,ich,Atlantic-Congo,7,2
Ethnographic Atlas,Piro,Sf8,xd1381,Piro (Sf8),-12,-73,yine1238,Yine,pib,Arawakan,4,0
Ethnographic Atlas,Myaamia,Nf4,xd1238,Miami (Nf4),40,-86,miam1252,Miami,mia,Algic,4,0
Ethnographic Atlas,Pima,Ni6,xd1291,Pima (Ni6),31,-111,akim1239,Akimel O'odham,,Uto-Aztecan,5,0
Ethnographic Atlas,Nyakyusa,Ad6,xd123,Nyakyusa (Ad6),-9,34,nyak1261,Nyakyusa,,Atlantic-Congo,6,2
Ethnographic Atlas,Easter Islanders,Ij9,xd898,Easter Island (Ij9),-27.12,-109.36,rapa1244,Rapanui,rap,Austronesian,7,0
Ethnographic Atlas,Kewa,Nh27,xd1278,Santo Domingo (Nh27),36,-105,sant1425,Santo Domingo,,Keresan,9,0
Ethnographic Atlas,Baditu,Ca40,xd449,Baditu (Ca40),6,38,koor1239,Koorete,kqy,Ta-Ne-Omotic,8,2
Ethnographic Atlas,Aleut,Na9,xd1067,Aleut (Na9),53.86,-166.79,east2533,Eastern Aleut,,Eskimo-Aleut,0,0
Ethnographic Atlas,Kawaiisu,Nc27,xd1126,Kawaiisu (Nc27),35,-118,kawa1283,Kawaiisu,xaw,Uto-Aztecan,0,0
Ethnographic Atlas,Santa Ana,Nh12,xd1262,Santa Ana (Nh12),35,-107,sant1426,Santa Ana,,Keresan,6,2
Ethnographic Atlas,Kickapoo,Nf15,xd1235,Kickapoo (Nf15),43,-90,kick1244,Kickapoo,kic,Algic,4,0
Ethnographic Atlas,Star Mountain,Ie37,xd815,Star Mountain (Ie37),-5,141,ngal1298,Ngalum,szb,Nuclear Trans New Guinea,5,1
Ethnographic Atlas,Abkhaz,Ci12,xd577,Abkhaz (Ci12),43,41,abkh1244,Abkhazian,abk,Abkhaz-Adyge,3,6
Ethnographic Atlas,Tibetans,Ee4,xd656,Tibetans (Ee4),30,91,tibe1272,Tibetan,bod,Sino-Tibetan,6,4
Ethnographic Atlas,Kimam,Ie18,xd794,Kimam (Ie18),-7.52,138.46,kima1246,Kimaama,kig,Kolopom,6,0
Ethnographic Atlas,Bororo,Si1,xd1397,Bororo (Si1),-16,-55,boro1282,Bororo,bor,Bororoan,0,0
Ethnographic Atlas,Minianka,Ag31,xd268,Minianka (Ag31),12,-6,mama1271,Mamara Senoufo,myk,Atlantic-Congo,6,2
Ethnographic Atlas,Rotinese,Ic4,xd766,Rotinese (Ic4),-10.71,123.18,term1237,Termanu,twu,Austronesian,7,2
Ethnographic Atlas,Khmer,Ej5,xd727,Cambodians (Ej5),12,105,sout2688,Southern Khmer,,Austroasiatic,6,1
Ethnographic Atlas,Yucatec Maya,Sa6,xd1322,Yucatec Maya (Sa6),18,-90,yuca1254,Yucatec Maya,yua,Mayan,7,0
Ethnographic Atlas,Hamyan,Cd14,xd512,Hamyan (Cd14),35,2,oran1236,Oran,,Afro-Asiatic,3,7
Ethnographic Atlas,Tiv,Ah3,xd320,Tiv (Ah3),7,9,tivv1240,Tiv,tiv,Atlantic-Congo,5,1
Ethnographic Atlas,Muria Gond,Eg13,xd676,Muria Gond (Eg13),20,81,nort2702,Northern Gondi,gno,Dravidian,5,1
Ethnographic Atlas,Kutubu,Ie16,xd792,Kutubu (Ie16),-6,143,foii1241,Foi,foi,East Kutubu,4,1
Ethnographic Atlas,Shuar,Se3,xd1367,Jivaro (Se3),-3,-78,shua1257,Shuar,jiv,Chicham,6,0
Ethnographic Atlas,Keyu,Aj25,xd401,Keyu (Aj25),0,36,keiy1238,Keiyo,eyo,Nilotic,4,4
Ethnographic Atlas,Taíno,Sb8,xd1333,Taino (Sb8),19.94,-75.37,tain1254,Taino,tnq,Arawakan,6,0
Ethnographic Atlas,Mimika,Ie30,xd808,Mimika (Ie30),-4,135,kamo1255,Kamoro,kgq,Nuclear Trans New Guinea,1,0
Ethnographic Atlas,Kutsu,Ae22,xd141,Kutshu (Ae22),-4,22,kusu1252,Kusu,ksv,Atlantic-Congo,5,1
Ethnographic Atlas,Kewyipaya,Nh23,xd1274,Kewyipaya (Nh23),34,-111,yava1252,Yavapai,,Cochimi-Yuman,1,0
Ethnographic Atlas,Telugu,Eg10,xd673,Telugu (Eg10),18,79,telu1262,Telugu,tel,Dravidian,7,3
Ethnographic Atlas,Kariyarra,Id5,xd780,Kariera (Id5),-21,118,kari1304,Kariyarra,vka,Pama-Nyungan,0,0
Ethnographic Atlas,Lele,Ac23,xd48,Lele (Ac23),-5,21,lele1265,Lele (Democratic Republic of Congo),lel,Atlantic-Congo,7,1
Ethnographic Atlas,Edo,Af24,xd202,Edo (Af24),6,6,bini1246,Bini,bin,Atlantic-Congo,7,1
Ethnographic Atlas,Iglulik Inuit,Na22,xd1025,Iglulik (Na22),70,-82,west2618,Western Canadian Inuktitut,ikt,Eskimo-Aleut,0,0
Ethnographic Atlas,Tiriki,Ad40,xd110,Tiriki (Ad40),0,35,idak1243,Idakho-Isukha-Tiriki,ida,Atlantic-Congo,7,3
Ethnographic Atlas,Reshe,Ah15,xd304,Reshe (Ah15),11,5,resh1242,Reshe,res,Atlantic-Congo,5,2
Ethnographic Atlas,Khasi,Ei8,xd714,Khasi (Ei8),26,92,khas1269,Khasi,kha,Austroasiatic,5,2
Ethnographic Atlas,Icelanders,Cg2,xd542,Icelanders (Cg2),64,-20,icel1247,Icelandic,isl,Indo-European,1,4
Ethnographic Atlas,Aimoré,Sj5,xd1413,Botocudo (Sj5),-18,-42,kren1239,Krenak,kqq,Nuclear-Macro-Je,0,0
Ethnographic Atlas,Russians,Ch11,xd548,Russians (Ch11),53,41,russ1263,Russian,rus,Indo-European,7,3
Ethnographic Atlas,Tübalulabal,Nc2,xd1118,Tubatulabal (Nc2),39,-118,tuba1278,Tübatulabal,tub,Uto-Aztecan,0,0
Ethnographic Atlas,Senoi,Ej14,xd721,Senoi (Ej14),4,102,sema1266,Semai,sea,Austroasiatic,6,0
Ethnographic Atlas,Khond,Eg12,xd675,Khond (Eg12),18,82,kuii1252,Kui (India),kxu,Dravidian,8,2
Ethnographic Atlas,Tannese,Ih10,xd863,Tannese (Ih10),-19.6,169.44,sout2869,Southwest Tanna,nwi,Austronesian,7,1
Ethnographic Atlas,Kabre,Ag49,xd287,Kabre (Ag49),10,2,kabi1261,Kabiyé,kbp,Atlantic-Congo,6,2
Ethnographic Atlas,Wikmunkan,Id6,xd781,Wikmunkan (Id6),-14,142,wikm1247,Wik-Mungkan,wim,Pama-Nyungan,0,0
Ethnographic Atlas,Kerala,Eg6,xd682,Kerala (Eg6),11,76,mala1464,Malayalam,mal,Dravidian,6,3
Ethnographic Atlas,Yukaghir,Ec6,xd634,Yukaghir (Ec6),70,145,nort2745,Northern Yukaghir,ykg,Yukaghir,0,0
Ethnographic Atlas,Keraki,Ie5,xd819,Keraki (Ie5),-9,142,namb1293,Nambo,ncm,Morehead-Wasur,7,1
Ethnographic Atlas,Luo,Aj6,xd411,Luo (Aj6),-1,34,luok1236,Luo (Kenya and Tanzania),luo,Nilotic,6,2
Ethnographic Atlas,Kwaio,Ig18,xd850,Kwaio (Ig18),-9,161,kwai1243,Kwaio,kwd,Austronesian,5,0
Ethnographic Atlas,Camaracoto,Sc11,xd1337,Camaracoto (Sc11),6,-63,cama1252,Camaracoto,,Cariban,6,0
Ethnographic Atlas,Toro,Ad48,xd118,Toro (Ad48),1,31,toor1238,Tooro,ttj,Atlantic-Congo,6,3
Ethnographic Atlas,Lithuanians,Ch9,xd573,Lithuanians (Ch9),55,24,lith1251,Lithuanian,lit,Indo-European,5,4
Ethnographic Atlas,Katikitegon,Na38,xd1054,Katikitegon (Na38),46,-92,uppe1274,Upper Michigan-Wisconsin Chippewa,,Algic,0,0
Ethnographic Atlas,Isala,Ag40,xd278,Isala (Ag40),10,-2,tumu1242,Tumulung Sisaala,sil,Atlantic-Congo,5,2
Ethnographic Atlas,Kiga,Ad13,xd80,Chiga (Ad13),-3,30,chig1238,Chiga,cgg,Atlantic-Congo,6,2
Ethnographic Atlas,Vanua Levu,Ih8,xd874,Vanua Levu (Ih8),-17.81,178.32,nort2843,Northeast Vanua Levu,,Austronesian,6,0
Ethnographic Atlas,Ngiyambaa,Id9,xd784,Wongaibon (Id9),-32,146,wang1291,Wangaaybuwan-Ngiyambaa,wyb,Pama-Nyungan,0,0
Ethnographic Atlas,Tolowa,Nb6,xd1103,Tolowa (Nb6),42,-124,tolo1259,Tolowa-Chetco,tol,Athapaskan-Eyak-Tlingit,0,0
Ethnographic Atlas,Kazakh,Eb1,xd609,Kazak (Eb1),48,70,kaza1248,Kazakh,kaz,Turkic,1,8
Ethnographic Atlas,Anak Dalam,Ib8,xd757,Kubu (Ib8),-3,103,kubu1239,Kubu,kvb,Austronesian,2,0
Ethnographic Atlas,Ket,Ec8,xd636,Ket (Ec8),62,90,kett1243,Ket,ket,Yeniseian,0,1
Ethnographic Atlas,Dzing,Ac22,xd47,Dzing (Ac22),-4,20,ding1239,Ding,diz,Atlantic-Congo,5,1
Ethnographic Atlas,Tepehuán,Ni9,xd1294,Tepehuan (Ni9),27,-107,nort2959,Northern Tepehuan,ntp,Uto-Aztecan,8,0
Ethnographic Atlas,Tamil,Eg2,xd678,Tamil (Eg2),11,79,tami1289,Tamil,tam,Dravidian,6,2
Ethnographic Atlas,Tongva,Nc29,xd1128,Gabrielo (Nc29),34,-118,tong1329,Tongva,,Uto-Aztecan,0,0
Ethnographic Atlas,Banyun,Ag16,xd251,Banyune (Ag16),12,-16,bain1259,Bainounk-Gujaher,bab,Atlantic-Congo,7,1
Ethnographic Atlas,Hano,Nh2,xd1270,Hano (Nh2),36,-111,hano1247,Hano (USA),,Kiowa-Tanoan,7,3
Ethnographic Atlas,Chuvash,ch14,xd551,Chuvash (ch14),57,53,chuv1255,Chuvash,chv,Turkic,9,1
Ethnographic Atlas,Wind River Eastern Shoshone,Nd64,xd1201,Wind River (Nd64),43,-109,nort2955,Northern Shoshoni,,Uto-Aztecan,0,0
Ethnographic Atlas,Orokaiva,Ie9,xd823,Orokaiva (Ie9),-9,148,orok1269,Orokaiva,okv,Nuclear Trans New Guinea,5,1
Ethnographic Atlas,Hadza,Aa9,xd9,Hatsa Kindiga (Aa9),-3,35,hadz1240,Hadza,hts,Hadza,0,0
Ethnographic Atlas,Czechs,Ch3,xd567,Czechs (Ch3),50,16,czec1258,Czech,ces,Indo-European,7,3
Ethnographic Atlas,Nunuma,Ag42,xd280,Nunuma (Ag42),12,-3,sout2795,Southern Nuni,nnw,Atlantic-Congo,6,2
Ethnographic Atlas,Oroch,ec20,xd629,Oroch (ec20),51,138,oroc1248,Oroch,oac,Tungusic,0,0
Ethnographic Atlas,Angas,Ah16,xd305,Angas (Ah16),9,9,ngas1240,Ngas,anc,Afro-Asiatic,7,2
Ethnographic Atlas,Wodaabe Fulani,Cb24,xd474,Wodaabe Fulani (Cb24),12,12,boro1274,Bororo (Atlantic Congo),,Atlantic-Congo,1,9
Ethnographic Atlas,Basseri,Ea6,xd605,Basseri (Ea6),30,34,bass1257,Basseri,,Indo-European,1,8
Ethnographic Atlas,Niueans,Ii9,xd888,Niueans (Ii9),-19.05,-169.86,niue1239,Niuean,niu,Austronesian,5,0
Ethnographic Atlas,Kwakiutl,Nb3,xd1090,Kwakiutl (Nb3),51,-127.49,kwak1269,Kwak'wala,kwk,Wakashan,0,0
Ethnographic Atlas,Dagara,Ag39,xd276,Dagari (Ag39),11,-3,sout2789,Central Dagaare,dga,Atlantic-Congo,7,3
Ethnographic Atlas,Ancient Khmer,Ej15,xd722,Khmer (Ej15),13,104,nucl1298,Nuclear Central Khmer,,Austroasiatic,5,3
Ethnographic Atlas,Bena,Ad11,xd78,Bena (Ad11),-9,36,bena1262,Bena (Tanzania),bez,Atlantic-Congo,6,3
Ethnographic Atlas,Tehuelche,Sg4,xd1386,Tehuelche (Sg4),-46,-70,tehu1242,Tehuelche,teh,Chonan,0,0
Ethnographic Atlas,Ajie,Ih5,xd871,Ajie (Ih5),-21.37,165.47,ajie1238,Ajië,aji,Austronesian,6,1
Ethnographic Atlas,Southern Paiute (Las Vegas),Nd55,xd1189,Las Vegas (Nd55),36,-115,sout2969,Southern Paiute,,Uto-Aztecan,1,0
Ethnographic Atlas,Shako,Ca42,xd451,Shako (Ca42),7,36,shek1245,Sheko,she,Dizoid,7,2
Ethnographic Atlas,Beatty,Nd33,xd1167,Beatty (Nd33),37,-116,pana1305,Panamint,par,Uto-Aztecan,0,0
Ethnographic Atlas,Namshi,Ai16,xd344,Namshi (Ai16),9,13,doya1240,Doyayo,dow,Atlantic-Congo,5,3
Ethnographic Atlas,Yana,Nc11,xd1109,Yana (Nc11),41,-122,yana1271,Yana,ynn,Yana,0,0
Ethnographic Atlas,Alacaluf,Sg5,xd1387,Alacaluf (Sg5),-52,-74,qawa1238,Qawasqar,alc,Kawesqar,0,0
Ethnographic Atlas,Nicobarese,Eh5,xd691,Nicobarese (Eh5),9.17,92.77,carn1240,Car Nicobarese,caq,Austroasiatic,5,1
Ethnographic Atlas,Bassari,Ag21,xd257,Bassari (Ag21),12,-13,bass1258,Bassari-Tanda,bsc,Atlantic-Congo,6,2
Ethnographic Atlas,Songo,Ac25,xd50,Songo (Ac25),-5,18,song1299,Nsong,soo,Atlantic-Congo,5,1
Ethnographic Atlas,Efik,Af19,xd196,Efik (Af19),5,8,efik1245,Efik,efi,Atlantic-Congo,5,1
Ethnographic Atlas,Basari,Ag48,xd286,Basari (Ag48),9,1,ntch1242,Ntcham,bud,Atlantic-Congo,7,2
Ethnographic Atlas,Mao,Ai47,xd378,Mao (Ai47),9,35,hozo1236,Hozo,hoz,Blue Nile Mao,6,1
Ethnographic Atlas,Mongo,Ae24,xd143,Mongo (Ae24),1,22,long1393,Longo (Democratic Republic of Congo),,Atlantic-Congo,6,1
Ethnographic Atlas,Crow,Ne4,xd1223,Crow (Ne4),45,-108,crow1244,Crow,cro,Siouan,0,0
Ethnographic Atlas,Akyem,Af12,xd189,Akyem (Af12),7,-1,akye1239,Akyem Bosome,,Atlantic-Congo,8,1
Ethnographic Atlas,Yaqui,Ni7,xd1292,Yaqui (Ni7),28,-110,yaqu1251,Yaqui,yaq,Uto-Aztecan,6,0
Ethnographic Atlas,Basa,Ah11,xd300,Basa (Ah11),8,8,basa1282,Basa (Nigeria),bzw,Atlantic-Congo,6,2
